2026-01-21 13:08:02,775 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-21 13:08:04,067 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 13:08:04,067 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 13:08:04,100 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 13:08:04,100 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 13:08:04,114 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 13:08:04,114 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 13:08:04,125 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 13:08:04,125 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 13:08:04,137 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 13:08:04,138 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:08:04,163 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 13:08:04,163 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:08:04,181 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 13:08:04,182 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 13:08:04,207 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 13:08:04,207 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:08:04,231 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 13:08:04,232 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:08:04,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 13:08:04,250 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:08:04,269 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 13:08:04,269 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 13:08:04,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 13:08:04,295 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:08:04,320 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-21 13:08:04,320 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:08:04,351 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 13:08:04,351 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:08:04,378 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 13:08:04,378 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-21 13:08:04,403 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-21 13:08:04,403 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:08:04,427 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:08:04,427 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:08:04,450 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:08:04,450 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 13:08:04,477 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 13:08:04,477 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:08:04,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 13:08:04,501 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-01-21 13:08:04,528 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-01-21 13:08:04,529 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 13:08:04,557 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 13:08:04,558 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:08:04,568 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 13:08:04,568 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-01-21 13:08:04,577 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2026-01-21 13:08:04,577 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 13:08:04,587 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-01-21 13:08:04,587 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:08:04,596 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-01-21 13:08:04,596 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
2026-01-21 13:08:04,605 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-bar-chart" at index "0"
2026-01-21 13:08:04,605 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 13:08:04,614 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-01-21 13:08:04,614 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:08:04,626 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-01-21 13:08:04,626 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Activities"
2026-01-21 13:08:04,641 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-line-chart" at index "0"
2026-01-21 13:08:04,642 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
