2026-01-21 06:23:56,707 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:23:57,858 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:23:57,858 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:23:57,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:23:57,928 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:23:57,959 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:23:57,959 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:23:58,019 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:23:58,019 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:23:58,051 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:23:58,051 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:23:58,112 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:23:58,112 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:23:58,146 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:23:58,146 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:23:58,466 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:23:58,467 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:23:58,782 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:23:58,782 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
