2026-01-21 06:08:33,723 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:08:34,959 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:08:34,960 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:34,994 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:08:34,994 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 06:08:35,007 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:08:35,007 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:08:35,017 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 06:08:35,017 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:08:35,031 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:08:35,031 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:08:35,044 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:08:35,044 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:08:35,056 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:08:35,056 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:08:35,065 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:08:35,065 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:08:35,076 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:08:35,076 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:08:35,086 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:08:35,086 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:08:35,100 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-21 06:08:35,100 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 06:08:35,113 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:08:35,114 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:08:35,126 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:08:35,126 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-21 06:08:35,136 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:08:35,136 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:08:35,146 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:08:35,147 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-21 06:08:35,161 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:08:35,161 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-21 06:08:35,173 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:08:35,173 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-21 06:08:35,187 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:08:35,187 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-21 06:08:35,200 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:08:35,200 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-21 06:08:35,214 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:08:35,214 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
