2026-01-21 13:07:43,996 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 13:07:45,156 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:45,156 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 13:07:45,213 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:45,213 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 13:07:45,241 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:45,241 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 13:07:45,323 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:45,323 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 13:07:45,357 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:45,357 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 13:07:45,406 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:45,406 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 13:07:45,429 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 13:07:45,429 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 13:07:45,519 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:07:45,519 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:45,706 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:07:45,707 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 13:07:45,729 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 13:07:45,729 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 13:07:45,759 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 13:07:45,759 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 13:07:45,787 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 13:07:45,787 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 13:07:45,834 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
