2026-01-20 18:20:49,036 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 18:20:50,279 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:50,279 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-20 18:20:50,348 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:50,348 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-20 18:20:50,375 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:50,375 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:50,452 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:50,452 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:50,477 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 18:20:50,477 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 18:20:50,655 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 18:20:50,655 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 18:20:50,686 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 18:20:50,686 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
