2026-01-20 19:33:01,924 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 19:33:03,046 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-20 19:33:03,046 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-20 19:33:03,163 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-20 19:33:03,191 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:03,191 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-20 19:33:03,228 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:03,231 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-20 19:33:03,269 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:03,269 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-20 19:33:03,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:03,319 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-20 19:33:03,346 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:03,346 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-20 19:33:03,389 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:03,389 | INPUT | INFO | Checking that input "Password" has a value ""
