2026-01-20 18:20:54,779 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 18:20:55,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:55,932 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:55,997 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:55,997 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:56,025 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:56,025 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 18:20:56,090 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:56,090 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 18:20:56,125 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:56,125 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:56,226 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:56,226 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:56,255 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 18:20:56,255 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 18:20:56,405 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:56,405 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 18:20:56,820 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:56,820 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
