2026-01-24 12:29:38,320 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-24 12:29:39,804 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:39,804 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-24 12:29:39,874 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:39,875 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-24 12:29:39,894 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:39,894 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-24 12:29:39,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:39,908 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-24 12:29:39,921 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-24 12:29:39,921 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:39,942 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:39,942 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:39,967 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:39,967 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-24 12:29:39,997 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-24 12:29:39,997 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:40,015 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-24 12:29:40,015 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:40,029 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:40,029 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:40,039 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
