2026-01-21 06:49:59,067 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-21 06:50:00,402 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:50:00,402 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:50:00,454 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:50:00,454 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:50:00,472 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:50:00,473 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:50:00,487 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:50:00,487 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:50:00,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:50:00,501 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:50:00,515 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:50:00,515 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:50:00,530 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:50:00,530 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:50:00,546 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:50:00,546 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:50:00,559 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:50:00,559 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:50:00,572 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:50:00,572 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:50:00,585 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:50:00,586 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 06:50:00,596 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 06:50:00,596 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:50:00,605 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-21 06:50:00,605 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:50:00,614 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:50:00,614 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:50:00,623 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:50:00,623 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-21 06:50:00,633 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-21 06:50:00,633 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:50:00,642 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:50:00,642 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:50:00,651 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:50:00,651 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:50:00,661 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 06:50:00,661 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:50:00,670 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 06:50:00,670 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-01-21 06:50:00,679 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-01-21 06:50:00,679 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 06:50:00,688 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 06:50:00,688 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:50:00,697 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 06:50:00,698 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
