2026-01-21 06:30:37,859 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:30:39,186 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:39,186 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:30:39,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:39,251 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:30:39,307 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:39,308 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:30:39,437 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:39,437 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:30:39,460 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:39,461 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:30:39,591 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:39,591 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:30:39,655 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:30:39,655 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:30:39,912 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:30:39,912 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:40,480 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:30:40,480 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:30:40,499 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:30:40,499 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:30:40,515 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:30:40,515 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:30:40,531 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:30:40,531 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:30:40,548 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:30:40,548 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:30:40,605 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:30:40,605 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:30:40,627 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:40,627 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:30:40,648 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:40,648 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
