2026-01-21 06:08:21,166 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:08:22,431 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-21 06:08:22,431 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-21 06:08:22,521 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-21 06:08:22,558 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:22,558 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-21 06:08:22,703 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:22,703 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-21 06:08:22,714 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:22,714 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-21 06:08:22,721 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:22,722 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-21 06:08:22,729 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:22,729 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-21 06:08:22,737 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:22,737 | INPUT | INFO | Checking that input "Password" has a value ""
