2026-01-21 06:08:24,930 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:08:26,146 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:26,146 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:08:26,206 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:26,206 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:08:26,236 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:26,237 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:08:26,331 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:26,331 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:08:26,370 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:26,370 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:26,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:26,444 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:26,467 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:08:26,467 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:08:26,618 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:26,619 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:27,025 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:27,025 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
