2026-01-21 13:07:58,379 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 13:07:59,665 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 13:07:59,666 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 13:07:59,704 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 13:07:59,704 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 13:07:59,788 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:59,788 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:59,804 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:59,804 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 13:07:59,826 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:59,826 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:59,846 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:59,846 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 13:07:59,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 13:07:59,862 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 13:07:59,876 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 13:07:59,876 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 13:07:59,891 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 13:07:59,891 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 13:07:59,930 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 13:07:59,930 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 13:08:00,012 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 13:08:00,012 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 13:08:00,041 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 13:08:00,042 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 13:08:00,122 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 13:08:00,122 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 13:08:00,140 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 13:08:00,140 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 13:08:00,216 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-21 13:08:00,216 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 13:08:00,239 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 13:08:00,240 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-21 13:08:00,312 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 13:08:00,313 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-21 13:08:00,332 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 13:08:00,333 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-21 13:08:00,390 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 13:08:00,390 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-21 13:08:00,409 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 13:08:00,409 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-21 13:08:00,525 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 13:08:00,525 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 13:08:00,676 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 13:08:00,676 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 13:08:00,706 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 13:08:00,706 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 13:08:00,718 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-21 13:08:00,718 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 13:08:00,744 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 13:08:00,744 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:08:00,758 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 13:08:00,758 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-01-21 13:08:00,772 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 13:08:00,772 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-01-21 13:08:00,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 13:08:00,780 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-01-21 13:08:00,801 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-01-21 13:08:00,801 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-01-21 13:08:00,818 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-01-21 13:08:00,819 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2026-01-21 13:08:00,839 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-01-21 13:08:00,839 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-01-21 13:08:00,856 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
