2026-01-20 19:33:03,878 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 19:33:04,989 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:04,989 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:33:05,083 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:05,083 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:33:05,147 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:05,147 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 19:33:05,258 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:05,258 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 19:33:05,318 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:05,318 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:33:05,440 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:05,441 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:33:05,467 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 19:33:05,467 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 19:33:05,694 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 19:33:05,694 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 19:33:06,030 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 19:33:06,030 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
