2026-01-21 06:24:09,982 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-21 06:24:11,805 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:24:11,805 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:24:11,869 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:24:11,869 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:24:11,898 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:24:11,898 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:24:11,926 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:24:11,926 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:24:11,947 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:24:11,947 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:24:11,970 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:24:11,970 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:24:12,000 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:24:12,000 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:24:12,021 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:24:12,021 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:24:12,048 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:24:12,049 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
