2026-01-24 12:29:23,377 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-24 12:29:24,672 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-24 12:29:24,673 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-24 12:29:24,771 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-24 12:29:24,817 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:24,818 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-24 12:29:24,833 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:24,833 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-24 12:29:24,845 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:24,845 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-24 12:29:24,853 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:24,853 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-24 12:29:24,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:24,862 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-24 12:29:24,870 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:24,870 | INPUT | INFO | Checking that input "Password" has a value ""
