2026-01-24 12:29:12,436 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-24 12:29:13,467 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:13,467 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:13,507 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:13,507 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:13,520 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:13,520 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-24 12:29:13,554 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:13,554 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-24 12:29:13,571 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-24 12:29:13,571 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-24 12:29:13,634 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:13,634 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-24 12:29:13,646 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:13,646 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
