2026-01-21 06:30:44,167 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:30:45,386 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:45,386 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:30:45,429 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:45,430 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:30:45,442 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:45,442 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:30:45,480 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:45,480 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:30:45,499 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:45,499 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:30:45,596 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:45,596 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:30:45,644 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:30:45,645 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:30:45,755 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:30:45,755 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:45,926 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:30:45,926 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
