2026-01-24 12:29:27,571 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-24 12:29:28,705 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:28,705 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:28,769 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:28,769 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:28,822 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:28,823 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-24 12:29:28,936 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:28,936 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-24 12:29:28,952 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:28,953 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:29,021 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:29,021 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:29,047 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-24 12:29:29,048 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-24 12:29:29,224 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-24 12:29:29,224 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-24 12:29:29,643 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-24 12:29:29,643 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
