2026-01-20 18:20:43,480 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 18:20:45,322 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:45,323 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:45,448 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:45,449 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:45,483 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:45,483 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 18:20:45,599 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:45,599 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 18:20:45,646 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:45,646 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:45,759 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:45,760 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:45,803 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 18:20:45,804 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 18:20:45,994 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:45,994 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 18:20:46,429 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:46,429 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-20 18:20:46,453 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:20:46,453 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-20 18:20:46,473 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:20:46,473 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-20 18:20:46,506 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 18:20:46,506 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-20 18:20:46,549 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 18:20:46,549 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
