2026-01-20 18:20:37,997 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 18:20:39,272 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:39,272 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-20 18:20:39,318 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-01-20 18:20:39,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:39,319 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-20 18:20:39,332 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:39,332 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:39,368 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:39,368 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:39,383 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 18:20:39,383 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 18:20:39,485 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 18:20:39,488 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 18:20:39,529 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 18:20:39,530 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
