2026-01-28 05:44:18,657 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-28 05:44:19,807 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:19,807 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-28 05:44:19,849 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:19,850 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-28 05:44:19,863 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:19,863 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-28 05:44:19,894 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:19,894 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-28 05:44:19,909 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-28 05:44:19,910 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-28 05:44:19,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:19,975 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-28 05:44:19,986 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:19,987 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
