2026-01-28 05:44:44,893 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-28 05:44:46,199 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-28 05:44:46,199 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:46,243 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-28 05:44:46,243 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-28 05:44:46,335 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:46,335 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:46,350 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:46,350 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-28 05:44:46,363 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:46,363 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:46,378 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:46,378 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-28 05:44:46,393 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:46,393 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-28 05:44:46,409 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-28 05:44:46,410 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-28 05:44:46,428 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-28 05:44:46,428 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
