2026-01-24 12:29:32,565 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-24 12:29:33,727 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-24 12:29:33,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-24 12:29:33,817 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-24 12:29:33,817 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-24 12:29:33,830 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-24 12:29:33,830 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-24 12:29:33,844 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-24 12:29:33,844 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-24 12:29:33,857 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-24 12:29:33,858 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-24 12:29:33,872 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-24 12:29:33,872 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-24 12:29:33,883 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-24 12:29:33,883 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-24 12:29:33,892 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-24 12:29:33,892 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-24 12:29:33,921 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-24 12:29:33,921 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-24 12:29:33,946 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-24 12:29:33,946 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-24 12:29:33,986 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-24 12:29:33,986 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-24 12:29:34,021 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-24 12:29:34,021 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-24 12:29:34,090 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-24 12:29:34,090 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-24 12:29:34,104 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-24 12:29:34,104 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-24 12:29:34,152 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-24 12:29:34,152 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-24 12:29:34,167 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-24 12:29:34,167 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-24 12:29:34,207 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-24 12:29:34,207 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-24 12:29:34,224 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-24 12:29:34,224 | INPUT | INFO | Fill input "Min score" to value "10"
