2026-01-21 06:30:46,284 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:30:47,452 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:47,453 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:30:47,531 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:47,531 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:30:47,582 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:47,582 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:30:47,685 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:47,686 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:30:47,747 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:47,747 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:30:47,828 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:47,828 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:30:47,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:30:47,862 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:30:48,076 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:30:48,076 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:48,364 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:30:48,365 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
