2026-01-21 06:23:50,809 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:23:52,166 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:23:52,166 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:23:52,239 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:23:52,239 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:23:52,283 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:23:52,283 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:23:52,338 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:23:52,338 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:23:52,374 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:23:52,374 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:23:52,452 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:23:52,452 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:23:52,480 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:23:52,480 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:23:52,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:23:52,580 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:23:52,754 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:23:52,754 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:23:52,815 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:23:52,815 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:23:52,845 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:23:52,845 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:23:52,877 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:23:52,877 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:23:52,904 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:23:52,904 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:23:52,922 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:23:52,922 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:23:52,947 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:23:52,947 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:23:52,977 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:23:52,977 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:23:53,015 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:23:53,016 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:23:53,053 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
