2026-01-28 05:44:25,752 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-28 05:44:27,088 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:27,089 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-28 05:44:27,144 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:27,144 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-28 05:44:27,166 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:27,167 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-28 05:44:27,309 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:27,309 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-28 05:44:27,380 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-28 05:44:27,380 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-28 05:44:27,660 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:27,661 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-28 05:44:27,708 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:27,708 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
