2026-01-20 19:33:07,225 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-20 19:33:08,472 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-20 19:33:08,472 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 19:33:08,506 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-20 19:33:08,506 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-20 19:33:08,519 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-20 19:33:08,519 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-20 19:33:08,531 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-20 19:33:08,531 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-20 19:33:08,545 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-20 19:33:08,546 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-20 19:33:08,559 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 19:33:08,559 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 19:33:08,572 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 19:33:08,573 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-20 19:33:08,586 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 19:33:08,586 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 19:33:08,600 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 19:33:08,600 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-20 19:33:08,612 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 19:33:08,612 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-20 19:33:08,625 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-20 19:33:08,626 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-20 19:33:08,638 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-20 19:33:08,638 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 19:33:08,651 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-20 19:33:08,651 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-20 19:33:08,661 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-20 19:33:08,661 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 19:33:08,672 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-20 19:33:08,672 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-20 19:33:08,687 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 19:33:08,687 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-20 19:33:08,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 19:33:08,703 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-20 19:33:08,718 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 19:33:08,718 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-20 19:33:08,733 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 19:33:08,733 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-20 19:33:08,748 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-20 19:33:08,748 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
