2026-01-21 06:49:39,056 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:49:40,426 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:40,426 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:49:40,531 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:40,531 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:49:40,593 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:40,593 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:49:40,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:40,727 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:49:40,772 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:40,772 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:49:40,907 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:40,907 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:49:40,968 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:49:40,968 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:49:41,145 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:49:41,145 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:41,644 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:49:41,644 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:49:41,673 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:49:41,674 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:49:41,689 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:49:41,689 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:49:41,704 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:49:41,705 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:49:41,723 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:49:41,723 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:49:41,774 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:49:41,774 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:49:41,789 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:49:41,789 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:49:41,804 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:49:41,804 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:49:41,819 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:49:41,819 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:49:41,837 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:49:41,837 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:49:41,859 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
