2025-12-24 17:23:53,802 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-24 17:23:55,024 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-24 17:23:55,024 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:55,136 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-24 17:23:55,137 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:55,187 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-24 17:23:55,187 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:55,272 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-24 17:23:55,273 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:55,316 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-24 17:23:55,316 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:55,385 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-24 17:23:55,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:55,410 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-24 17:23:55,411 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-24 17:23:55,532 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:23:55,532 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:23:55,722 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:23:55,722 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
