2026-01-21 06:08:24,094 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:08:25,180 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:25,180 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:08:25,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:25,231 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:08:25,245 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:25,245 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:08:25,294 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:25,294 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:08:25,314 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:25,314 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:25,352 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:25,352 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:25,368 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:08:25,368 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:08:25,488 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:25,488 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:25,688 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:25,688 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:08:25,714 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:25,714 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:08:25,732 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:25,733 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:08:25,750 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:08:25,750 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:08:25,765 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:08:25,765 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:08:25,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:08:25,780 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:08:25,797 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:25,797 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:08:25,813 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:25,813 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:08:25,831 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:08:25,831 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:08:25,846 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:08:25,846 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:08:25,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:25,862 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:08:25,877 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:25,877 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 06:08:25,892 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 06:08:25,892 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:08:25,906 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
