2025-12-24 17:23:45,411 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-24 17:23:46,847 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-24 17:23:46,847 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:46,923 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-24 17:23:46,923 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:47,042 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-24 17:23:47,043 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:47,247 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-24 17:23:47,247 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:47,452 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-24 17:23:47,452 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:47,594 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-24 17:23:47,595 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:47,813 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-24 17:23:47,813 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-24 17:23:48,086 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:23:48,087 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:23:48,516 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:23:48,516 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2025-12-24 17:23:48,570 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-24 17:23:48,571 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-24 17:23:48,808 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
