2026-01-21 06:30:49,718 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:30:50,882 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:30:50,882 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:50,909 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:30:50,909 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 06:30:50,920 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:30:50,920 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:30:50,934 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 06:30:50,934 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:30:50,952 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:30:50,953 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:30:50,968 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:50,968 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:50,983 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:50,984 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:30:51,002 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:51,002 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:51,019 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:51,020 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:30:51,038 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:30:51,038 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:30:51,056 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
