2026-01-21 06:49:59,391 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:50:00,713 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:50:00,713 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:50:00,751 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:50:00,751 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:50:00,831 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:50:00,831 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:50:00,846 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:50:00,846 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:50:00,860 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:50:00,861 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:50:00,874 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:50:00,874 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:50:00,888 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:50:00,888 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:50:00,901 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 06:50:00,901 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 06:50:00,921 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 06:50:00,921 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:50:00,965 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:50:00,965 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 06:50:01,033 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:50:01,033 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
