2026-01-20 19:33:11,870 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-20 19:33:13,107 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-20 19:33:13,107 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 19:33:13,160 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-20 19:33:13,161 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-20 19:33:13,246 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 19:33:13,246 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 19:33:13,265 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 19:33:13,265 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-20 19:33:13,284 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 19:33:13,284 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 19:33:13,301 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 19:33:13,301 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-20 19:33:13,318 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 19:33:13,319 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-20 19:33:13,336 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-20 19:33:13,336 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-20 19:33:13,353 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-20 19:33:13,354 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-20 19:33:13,393 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 19:33:13,394 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-20 19:33:13,503 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 19:33:13,504 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-20 19:33:13,544 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 19:33:13,544 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-20 19:33:13,617 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 19:33:13,619 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-20 19:33:13,645 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-20 19:33:13,646 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
