2026-01-24 12:29:17,190 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-24 12:29:18,697 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:18,698 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:18,789 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:18,790 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:18,851 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:18,851 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:19,016 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:19,016 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:19,097 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-24 12:29:19,097 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-24 12:29:19,305 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:19,305 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-24 12:29:19,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:19,319 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
