2026-01-20 19:32:52,239 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 19:32:53,821 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:53,821 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:32:53,888 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:53,888 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:32:53,918 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:53,918 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-20 19:32:54,125 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:54,126 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-20 19:32:54,206 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 19:32:54,206 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 19:32:54,417 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:54,417 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 19:32:54,432 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:54,433 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
