2026-01-21 06:08:22,058 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:08:23,159 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:08:23,159 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-21 06:08:23,248 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:08:23,248 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-21 06:08:23,290 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:08:23,291 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:23,378 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:08:23,378 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:23,408 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:08:23,408 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:08:23,644 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:08:23,644 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:08:23,682 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:08:23,682 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
