2026-01-20 19:33:03,667 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 19:33:04,748 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:04,749 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:33:04,791 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:04,791 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:33:04,800 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:04,800 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 19:33:04,817 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:04,817 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 19:33:04,825 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:04,825 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:33:04,841 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:04,841 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:33:04,850 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 19:33:04,850 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 19:33:05,225 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-20 19:33:06,738 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 19:33:06,738 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-20 19:33:06,764 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 19:33:06,764 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-20 19:33:06,775 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 19:33:06,775 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-20 19:33:06,787 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 19:33:06,787 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-20 19:33:06,797 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-20 19:33:06,797 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 19:33:06,806 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
