2025-12-24 17:23:45,405 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-24 17:23:46,727 | INPUT | INFO | Fill input "Email" to value "  "
2025-12-24 17:23:46,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:46,776 | INPUT | INFO | Check that input "Email" has a value "  "
2025-12-24 17:23:46,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:46,789 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-24 17:23:46,790 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:47,113 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-24 17:23:47,113 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:47,320 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-24 17:23:47,320 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-24 17:23:47,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:47,535 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-24 17:23:47,545 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:47,545 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
