2026-01-20 18:21:04,798 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-20 18:21:06,244 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-20 18:21:06,244 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 18:21:06,286 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-20 18:21:06,286 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-20 18:21:06,366 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 18:21:06,366 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 18:21:06,381 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 18:21:06,381 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-20 18:21:06,403 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 18:21:06,404 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 18:21:06,419 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 18:21:06,419 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-20 18:21:06,433 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 18:21:06,433 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-20 18:21:06,447 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-20 18:21:06,448 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-20 18:21:06,462 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-20 18:21:06,462 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-20 18:21:06,494 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 18:21:06,495 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-20 18:21:06,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 18:21:06,580 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-20 18:21:06,596 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 18:21:06,596 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-20 18:21:06,698 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 18:21:06,698 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-20 18:21:06,738 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-20 18:21:06,738 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-20 18:21:06,873 | TEXTAREA | INFO | Check have textarea "Description" to value
2026-01-20 18:21:06,873 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
