2026-01-24 12:29:29,973 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-24 12:29:31,011 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:31,012 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:31,074 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:31,074 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:31,087 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:31,087 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-24 12:29:31,112 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:31,112 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-24 12:29:31,123 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:31,123 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:31,142 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:31,142 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:31,152 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-24 12:29:31,152 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-24 12:29:31,570 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-24 12:29:32,660 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-24 12:29:32,660 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-24 12:29:32,694 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-24 12:29:32,694 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-24 12:29:32,707 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-24 12:29:32,708 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-24 12:29:32,719 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-24 12:29:32,719 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-24 12:29:32,729 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-24 12:29:32,729 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-24 12:29:32,737 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-24 12:29:32,737 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-24 12:29:32,745 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-24 12:29:32,745 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-24 12:29:32,754 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-24 12:29:32,754 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-24 12:29:32,763 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-24 12:29:32,763 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-24 12:29:32,771 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-24 12:29:32,771 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-24 12:29:32,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-24 12:29:32,780 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-24 12:29:32,790 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
