2026-01-21 06:08:29,964 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:08:30,895 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:30,895 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:08:30,953 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:30,953 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:08:30,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:30,963 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:08:30,985 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:30,985 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:08:30,992 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:30,993 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:31,009 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:31,009 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:31,019 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:08:31,019 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:08:31,707 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-21 06:08:32,775 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:32,775 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:08:32,812 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:32,812 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:08:32,822 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:08:32,822 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:08:32,831 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:08:32,831 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:08:32,844 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:08:32,844 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
