2026-01-21 06:08:27,523 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:08:28,662 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:28,662 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:08:28,750 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:28,750 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:08:28,800 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:28,801 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:08:28,884 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:28,885 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:08:28,900 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:28,900 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:28,999 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:28,999 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:29,033 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:08:29,033 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:08:29,178 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:29,178 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:29,515 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:29,515 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
