2026-01-28 05:44:34,171 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-28 05:44:35,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:35,295 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-28 05:44:35,361 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:35,361 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-28 05:44:35,383 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:35,383 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-28 05:44:35,425 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:35,425 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-28 05:44:35,437 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:35,437 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-28 05:44:35,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:35,476 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-28 05:44:35,494 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-28 05:44:35,494 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-28 05:44:35,981 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-28 05:44:37,221 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-28 05:44:37,221 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-28 05:44:37,244 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
