2026-01-21 06:24:07,845 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:24:09,203 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:24:09,203 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:24:09,240 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:24:09,240 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:24:09,303 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:24:09,303 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:24:09,320 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:24:09,320 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:24:09,340 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:24:09,340 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:24:09,353 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:24:09,353 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:24:09,368 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:24:09,368 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:24:09,381 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 06:24:09,381 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 06:24:09,395 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 06:24:09,395 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:24:09,432 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:24:09,432 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 06:24:09,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:24:09,501 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 06:24:09,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:24:09,535 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 06:24:09,616 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:24:09,617 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 06:24:09,640 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 06:24:09,640 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:24:09,749 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-21 06:24:09,750 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:24:09,769 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:24:09,770 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-21 06:24:09,866 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:24:09,866 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-21 06:24:09,891 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:24:09,891 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-21 06:24:09,970 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:24:09,970 | INPUT | INFO | Checking that input "Min score" has a value "10"
