2026-01-21 13:07:53,734 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 13:07:54,923 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 13:07:54,923 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 13:07:54,977 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 13:07:54,977 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 13:07:55,027 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:55,028 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:55,043 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:55,043 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 13:07:55,065 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:55,065 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:55,078 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:55,078 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 13:07:55,091 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 13:07:55,091 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 13:07:55,104 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 13:07:55,104 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 13:07:55,117 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 13:07:55,117 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 13:07:55,143 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 13:07:55,143 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 13:07:55,176 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 13:07:55,176 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 13:07:55,188 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 13:07:55,188 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 13:07:55,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 13:07:55,230 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 13:07:55,241 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 13:07:55,241 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 13:07:55,281 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-21 13:07:55,282 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 13:07:55,293 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
