2025-12-24 17:23:36,693 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-24 17:23:38,143 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-24 17:23:38,143 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:38,202 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-24 17:23:38,203 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:38,229 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-24 17:23:38,229 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:38,325 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-24 17:23:38,325 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:38,374 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-24 17:23:38,374 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-24 17:23:38,528 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:38,528 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-24 17:23:38,553 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:38,553 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
