2026-01-28 05:44:22,922 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-28 05:44:24,584 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:24,584 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-28 05:44:24,667 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:24,667 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-28 05:44:24,724 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:24,724 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-28 05:44:24,881 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:24,881 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-28 05:44:24,940 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-28 05:44:24,940 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-28 05:44:25,158 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:25,158 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-28 05:44:25,180 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:25,180 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
