2026-01-21 13:07:32,318 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 13:07:33,643 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:33,643 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 13:07:33,711 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:33,711 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 13:07:33,761 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:33,761 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 13:07:33,851 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:33,851 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 13:07:33,890 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 13:07:33,890 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 13:07:34,021 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:34,021 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 13:07:34,053 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:34,054 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
