2026-01-20 18:20:51,185 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 18:20:52,269 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:52,269 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:52,330 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:52,330 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:52,360 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:52,361 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 18:20:52,430 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:52,430 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 18:20:52,449 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:52,449 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:52,499 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:52,499 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:52,516 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 18:20:52,517 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 18:20:52,601 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:52,601 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 18:20:52,841 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:52,841 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-20 18:20:52,885 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:20:52,886 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-20 18:20:52,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:20:52,932 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-20 18:20:52,955 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 18:20:52,955 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-20 18:20:52,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 18:20:52,975 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-20 18:20:52,994 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-20 18:20:52,994 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 18:20:53,012 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:53,012 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 18:20:53,032 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:53,032 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-20 18:20:53,051 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-20 18:20:53,051 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 18:20:53,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-20 18:20:53,066 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 18:20:53,079 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:53,080 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 18:20:53,094 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:53,094 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-20 18:20:53,111 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-20 18:20:53,111 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 18:20:53,127 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-20 18:20:53,127 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 18:20:53,143 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:53,143 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 18:20:53,159 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:53,160 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-20 18:20:53,174 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-20 18:20:53,175 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 18:20:53,188 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-20 18:20:53,188 | BASE_ELEMENT | INFO | Clicking button "Sidebar"
2026-01-20 18:20:53,241 | BASE_COMPONENT | INFO | Checking that current url matches pattern ".*/#/auth/login"
2026-01-20 18:20:53,264 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:53,264 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:53,287 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:53,287 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:53,297 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:53,297 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:53,314 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:53,314 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:53,326 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 18:20:53,326 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 18:20:53,415 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:53,415 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 18:20:53,438 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:53,439 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-20 18:20:53,466 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:20:53,467 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-20 18:20:53,527 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:20:53,527 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
