2026-01-20 18:20:57,200 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 18:20:58,323 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:58,324 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:58,375 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:58,375 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:58,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:58,385 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 18:20:58,408 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:58,408 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 18:20:58,416 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:58,416 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:58,436 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:58,436 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:58,447 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 18:20:58,447 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 18:20:58,852 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-20 18:21:00,037 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-20 18:21:00,037 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 18:21:00,063 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-20 18:21:00,063 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-20 18:21:00,075 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-20 18:21:00,075 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-20 18:21:00,089 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-20 18:21:00,090 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-20 18:21:00,106 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-20 18:21:00,106 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-20 18:21:00,122 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 18:21:00,122 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 18:21:00,136 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 18:21:00,136 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-20 18:21:00,146 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 18:21:00,146 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 18:21:00,160 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 18:21:00,160 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-20 18:21:00,176 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 18:21:00,176 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-20 18:21:00,187 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-20 18:21:00,187 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-20 18:21:00,200 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-20 18:21:00,200 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 18:21:00,214 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-20 18:21:00,214 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-20 18:21:00,231 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-20 18:21:00,231 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 18:21:00,242 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-20 18:21:00,242 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-20 18:21:00,252 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 18:21:00,252 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-20 18:21:00,267 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 18:21:00,267 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-20 18:21:00,277 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 18:21:00,277 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-20 18:21:00,290 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 18:21:00,290 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-20 18:21:00,301 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-20 18:21:00,302 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2026-01-20 18:21:00,314 | TEXTAREA | INFO | Check have textarea "Description" to value
2026-01-20 18:21:00,314 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-20 18:21:00,336 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-20 18:21:00,337 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-01-20 18:21:00,350 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-20 18:21:00,350 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-01-20 18:21:00,359 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-20 18:21:00,359 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-01-20 18:21:00,369 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-20 18:21:00,369 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-01-20 18:21:00,384 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-20 18:21:00,384 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 18:21:00,398 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-20 18:21:00,398 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-01-20 18:21:00,410 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-01-20 18:21:00,410 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-01-20 18:21:00,422 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-01-20 18:21:00,422 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-20 18:21:00,437 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-20 18:21:00,437 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 18:21:00,450 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-20 18:21:00,451 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no exercises"
2026-01-20 18:21:00,464 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-20 18:21:00,464 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 18:21:00,480 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
