2026-01-24 12:29:41,815 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-24 12:29:43,098 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:43,098 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-24 12:29:43,143 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:43,143 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-24 12:29:43,158 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:43,158 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-24 12:29:43,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:43,171 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-24 12:29:43,183 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-24 12:29:43,183 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:43,193 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:43,193 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:43,211 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:43,211 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-24 12:29:43,223 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-24 12:29:43,223 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:43,234 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-24 12:29:43,234 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:43,253 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:43,253 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:43,269 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:43,270 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-24 12:29:43,287 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-24 12:29:43,287 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:43,306 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-24 12:29:43,306 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
