2026-01-20 19:32:52,239 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 19:32:53,845 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:53,846 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:32:53,938 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:53,938 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:32:54,003 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:54,003 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:32:54,140 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:54,141 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:32:54,190 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 19:32:54,190 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 19:32:54,422 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:54,423 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 19:32:54,440 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:54,440 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
