2026-01-21 06:49:54,564 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:49:55,803 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:49:55,803 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:49:55,867 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:49:55,867 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:49:55,981 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:49:55,981 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:49:56,018 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:49:56,018 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:49:56,051 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:49:56,052 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:49:56,077 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:49:56,077 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:49:56,094 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:49:56,094 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:49:56,106 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 06:49:56,106 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 06:49:56,116 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 06:49:56,116 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:49:56,138 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:49:56,138 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 06:49:56,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:49:56,171 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 06:49:56,187 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:49:56,187 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 06:49:56,273 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:49:56,273 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 06:49:56,299 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 06:49:56,299 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:49:56,368 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-21 06:49:56,368 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:49:56,400 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:49:56,400 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-21 06:49:56,443 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:49:56,443 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-21 06:49:56,457 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:49:56,457 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-21 06:49:56,491 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:49:56,491 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-21 06:49:56,512 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:49:56,513 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-21 06:49:56,595 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:49:56,596 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 06:49:56,646 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:49:56,646 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 06:49:56,664 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 06:49:56,664 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:49:56,683 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-21 06:49:56,684 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:49:56,715 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 06:49:56,715 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:56,739 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 06:49:56,740 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-01-21 06:49:56,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 06:49:56,760 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-01-21 06:49:56,770 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 06:49:56,771 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-01-21 06:49:56,782 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-01-21 06:49:56,782 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-01-21 06:49:56,796 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-01-21 06:49:56,796 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2026-01-21 06:49:56,808 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-01-21 06:49:56,808 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-01-21 06:49:56,819 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-01-21 06:49:56,819 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2026-01-21 06:49:56,831 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2026-01-21 06:49:56,831 | BASE_ELEMENT | INFO | Clicking button "Menu"
2026-01-21 06:49:56,883 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-01-21 06:49:56,883 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2026-01-21 06:49:56,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-01-21 06:49:56,899 | BASE_ELEMENT | INFO | Clicking button "Edit"
2026-01-21 06:49:57,258 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:49:57,258 | INPUT | INFO | Fill input "Title" to value "New Playwright"
2026-01-21 06:49:57,316 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:49:57,316 | INPUT | INFO | Checking that input "Title" has a value "New Playwright"
2026-01-21 06:49:57,349 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:49:57,349 | INPUT | INFO | Fill input "Estimated time" to value "3 weeks"
2026-01-21 06:49:57,437 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:49:57,437 | INPUT | INFO | Checking that input "Estimated time" has a value "3 weeks"
2026-01-21 06:49:57,467 | TEXTAREA | INFO | Fill textarea "Description" to value "New Playwright"
2026-01-21 06:49:57,467 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:49:57,554 | TEXTAREA | INFO | Check have textarea "Description" to value "New Playwright"
2026-01-21 06:49:57,554 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:49:57,583 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:49:57,583 | INPUT | INFO | Fill input "Max score" to value "1000"
2026-01-21 06:49:57,691 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:49:57,692 | INPUT | INFO | Checking that input "Max score" has a value "1000"
2026-01-21 06:49:57,725 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:49:57,725 | INPUT | INFO | Fill input "Min score" to value "100"
2026-01-21 06:49:57,802 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:49:57,802 | INPUT | INFO | Checking that input "Min score" has a value "100"
2026-01-21 06:49:57,829 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:49:57,830 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-21 06:49:57,953 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:49:57,953 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 06:49:57,990 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:49:57,991 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 06:49:58,017 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 06:49:58,017 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:49:58,054 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-21 06:49:58,056 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:49:58,101 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 06:49:58,101 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:58,119 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 06:49:58,119 | BASE_ELEMENT | INFO | Checking that text "Title" has text "New Playwright"
2026-01-21 06:49:58,135 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 06:49:58,135 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-01-21 06:49:58,149 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 06:49:58,150 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 1000"
2026-01-21 06:49:58,164 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-01-21 06:49:58,165 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-01-21 06:49:58,177 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-01-21 06:49:58,177 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 100"
2026-01-21 06:49:58,186 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-01-21 06:49:58,186 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-01-21 06:49:58,196 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-01-21 06:49:58,196 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 3 weeks"
