2026-01-20 18:21:02,356 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-20 18:21:03,820 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-20 18:21:03,820 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 18:21:03,857 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-20 18:21:03,857 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-20 18:21:03,872 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-20 18:21:03,873 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-20 18:21:03,884 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-20 18:21:03,884 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-20 18:21:03,895 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-20 18:21:03,896 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-20 18:21:03,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 18:21:03,908 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 18:21:03,926 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 18:21:03,927 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-20 18:21:03,939 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 18:21:03,939 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 18:21:03,950 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 18:21:03,950 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-20 18:21:03,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 18:21:03,963 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-20 18:21:03,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-20 18:21:03,975 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-20 18:21:03,987 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-20 18:21:03,987 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 18:21:04,008 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-20 18:21:04,009 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-20 18:21:04,027 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-20 18:21:04,027 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 18:21:04,052 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-20 18:21:04,052 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-20 18:21:04,063 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
