2026-01-28 05:44:22,923 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-28 05:44:24,587 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:24,587 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-28 05:44:24,689 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:24,689 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-28 05:44:24,783 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:24,783 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-28 05:44:24,953 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:24,953 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-28 05:44:25,022 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-28 05:44:25,022 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-28 05:44:25,198 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:25,198 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-28 05:44:25,218 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:25,218 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
