2026-01-24 12:29:22,201 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-24 12:29:23,328 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:23,328 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-24 12:29:23,413 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:23,413 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-24 12:29:23,440 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:23,440 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:23,523 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:23,523 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:23,554 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-24 12:29:23,554 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-24 12:29:23,730 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:23,730 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-24 12:29:23,747 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:23,747 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
