2026-01-21 13:07:42,006 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 13:07:43,211 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:43,211 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-21 13:07:43,302 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:43,302 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-21 13:07:43,338 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:43,339 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 13:07:43,426 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:43,427 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 13:07:43,456 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 13:07:43,456 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 13:07:43,609 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:43,609 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 13:07:43,638 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:43,638 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
