2025-12-24 17:23:52,161 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-24 17:23:53,391 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2025-12-24 17:23:53,391 | BASE_ELEMENT | INFO | Clicking link "Registration"
2025-12-24 17:23:53,453 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2025-12-24 17:23:53,483 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:53,483 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2025-12-24 17:23:53,500 | INPUT | INFO | Check that input "Email" has a value ""
2025-12-24 17:23:53,500 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:53,515 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:53,515 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2025-12-24 17:23:53,526 | INPUT | INFO | Check that input "Username" has a value ""
2025-12-24 17:23:53,526 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:53,538 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:53,538 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2025-12-24 17:23:53,547 | INPUT | INFO | Check that input "Password" has a value ""
2025-12-24 17:23:53,547 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
