2026-01-21 06:49:43,601 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:49:44,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-21 06:49:44,927 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-21 06:49:45,011 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-21 06:49:45,046 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:45,046 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-21 06:49:45,070 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:45,070 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-21 06:49:45,089 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:45,089 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-21 06:49:45,115 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:45,115 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-21 06:49:45,137 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:45,137 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-21 06:49:45,154 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:45,154 | INPUT | INFO | Checking that input "Password" has a value ""
