2025-12-24 17:23:39,038 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-24 17:23:40,143 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-24 17:23:40,143 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:40,196 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-24 17:23:40,196 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:40,213 | INPUT | INFO | Fill input "Password" to value "  "
2025-12-24 17:23:40,213 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:40,262 | INPUT | INFO | Check that input "Password" has a value "  "
2025-12-24 17:23:40,262 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:40,275 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-24 17:23:40,275 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-24 17:23:40,355 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:40,355 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-24 17:23:40,369 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:40,369 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
