2026-01-21 06:30:27,516 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:30:28,928 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:30:28,928 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-21 06:30:29,019 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:30:29,019 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-21 06:30:29,060 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:30:29,061 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:30:29,182 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:30:29,182 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:30:29,206 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:30:29,206 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:30:29,317 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:30:29,317 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:30:29,346 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:30:29,346 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
